route_station_id,station_seq,is_start,is_end,route_id,station_id
681,57,0,0,100100008,107000002
682,58,0,0,100100008,107000011
683,59,0,0,100100008,107000012
684,60,0,0,100100008,107000179
685,61,0,0,100100008,107000181
686,62,0,0,100100008,107000183
687,63,0,0,100100008,107000185
688,64,0,0,100100008,107000198
689,65,0,0,100100008,107000131
690,66,0,0,100100008,107000129
691,67,0,0,100100008,107000521
692,68,0,0,100100008,107000098
693,69,0,0,100100008,107000096
694,70,0,1,100100008,110000656
695,1,1,0,100100009,108000106
696,2,0,0,100100009,108000372
697,3,0,0,100100009,108000108
698,4,0,0,100100009,108000023
699,5,0,0,100100009,108000032
700,6,0,0,100100009,108000034
701,7,0,0,100100009,108000046
702,8,0,0,100100009,108000068
703,9,0,0,100100009,108000070
704,10,0,0,100100009,108000072
705,11,0,0,100100009,108000074
706,12,0,0,100100009,108000076
707,13,0,0,100100009,108000078
708,14,0,0,100100009,108000080
709,15,0,0,100100009,107000081
710,16,0,0,100100009,107000083
711,17,0,0,100100009,107000003
712,18,0,0,100100009,107000005
713,19,0,0,100100009,107000007
714,20,0,0,100100009,107000009
715,21,0,0,100100009,100000005
716,22,0,0,100100009,100000003
717,23,0,0,100100009,100000002
718,24,0,0,100100009,100000102
719,25,0,0,100100009,100000151
720,26,0,0,100100009,101000065
721,27,0,0,100100009,101000055
722,28,0,0,100100009,101000052
723,29,0,0,100100009,101000335
724,30,0,0,100100009,101000046
725,31,0,0,100100009,101000023
726,32,0,0,100100009,101000005
727,33,0,0,100100009,101000047
728,34,0,0,100100009,101000050
729,35,0,0,100100009,101000053
730,36,0,0,100100009,101000054
731,37,0,0,100100009,101000103
732,38,0,0,100100009,101000069
733,39,0,0,100100009,101000068
734,40,0,0,100100009,100000116
735,41,0,0,100100009,100000109
736,42,0,0,100100009,100000108
737,43,0,0,100100009,100000123
738,44,0,0,100100009,100000124
739,45,0,0,100100009,100000133
740,46,0,0,100100009,107000010
741,47,0,0,100100009,107000008
742,48,0,0,100100009,107000006
743,49,0,0,100100009,107000033
744,50,0,0,100100009,107000084
745,51,0,0,100100009,107000082
746,52,0,0,100100009,108000081
747,53,0,0,100100009,108000079
748,54,0,0,100100009,108000077
749,55,0,0,100100009,108000075
750,56,0,0,100100009,108000073
751,57,0,0,100100009,108000071
752,58,0,0,100100009,108000069
753,59,0,0,100100009,108000047
754,60,0,0,100100009,108000035
755,61,0,0,100100009,108000033
756,62,0,0,100100009,108000022
757,63,0,0,100100009,108000109
758,64,0,0,100100009,108000371
759,65,0,1,100100009,108000107
760,1,1,0,100100010,110000399
761,2,0,0,100100010,110000089
762,3,0,0,100100010,110000084
763,4,0,0,100100010,110000086
764,5,0,0,100100010,110000144
765,6,0,0,100100010,110000145
766,7,0,0,100100010,110000146
767,8,0,0,100100010,110000265
768,9,0,0,100100010,110000266
769,10,0,0,100100010,110000346
770,11,0,0,100100010,110000347
771,12,0,0,100100010,110000060
772,13,0,0,100100010,110000062
773,14,0,0,100100010,110000002
774,15,0,0,100100010,110000004
775,16,0,0,100100010,106000007
776,17,0,0,100100010,106000009
777,18,0,0,100100010,106000325
778,19,0,0,100100010,106000011
779,20,0,0,100100010,106000013
780,21,0,0,100100010,106000015
781,22,0,0,100100010,106000005
782,23,0,0,100100010,105000009
783,24,0,0,100100010,105000011
784,25,0,0,100100010,105000013
785,26,0,0,100100010,105000014
786,27,0,0,100100010,105000478
787,28,0,0,100100010,105000015
788,29,0,0,100100010,105000480
789,30,0,0,100100010,105000481
790,31,0,0,100100010,105000483
791,32,0,0,100100010,105000485
792,33,0,0,100100010,100000367
793,34,0,0,100100010,100000365
794,35,0,0,100100010,100000190
795,36,0,0,100100010,101000074
796,37,0,0,100100010,101000071
797,38,0,0,100100010,101000102
798,39,0,0,100100010,101000104
799,40,0,0,100100010,101000055
800,41,0,0,100100010,101000052
801,42,0,0,100100010,101000335
802,43,0,0,100100010,101000046
803,44,0,0,100100010,101000027
804,45,0,0,100100010,101000114
805,46,0,0,100100010,101000043
806,47,0,0,100100010,101000057
807,48,0,0,100100010,101000060
808,49,0,0,100100010,101000062
809,50,0,0,100100010,101000064
810,51,0,0,100100010,101000067
811,52,0,0,100100010,101000070
812,53,0,0,100100010,101000075
813,54,0,0,100100010,100000398
814,55,0,0,100100010,100000366
815,56,0,0,100100010,105000486
816,57,0,0,100100010,105000484
817,58,0,0,100100010,105000482
818,59,0,0,100100010,105000488
819,60,0,0,100100010,105000447
820,61,0,0,100100010,105000030
821,62,0,0,100100010,105000033
822,63,0,0,100100010,105000012
823,64,0,0,100100010,105000010
824,65,0,0,100100010,106000006
825,66,0,0,100100010,106000016
826,67,0,0,100100010,106000014
827,68,0,0,100100010,106000012
828,69,0,0,100100010,106000326
829,70,0,0,100100010,106000010
830,71,0,0,100100010,106000008
831,72,0,0,100100010,110000003
